"date","plot.nm","treatment","vwc"
2019-03-31,2,"C-",0.176323529411765
2019-03-31,4,"R+",0.123882352941176
2019-03-31,5,"R-",0.0872058823529412
2019-03-31,7,"OC-",0.176970588235294
2019-03-31,8,"V+",0.125235294117647
2019-03-31,12,"C+",0.157882352941176
2019-03-31,13,"V+",0.159588235294118
2019-03-31,14,"I-",0.201852941176471
2019-03-31,16,"V-",0.129294117647059
2019-03-31,17,"S-",0.154617647058824
2019-03-31,21,"OC-",0.208147058823529
2019-03-31,22,"S-",0.173764705882353
2019-03-31,23,"OC+",0.212058823529412
2019-03-31,27,"C+",0.142764705882353
2019-03-31,30,"R-",0.175470588235294
2019-03-31,32,"I-",0.187882352941176
2019-03-31,33,"V-",0.129852941176471
2019-03-31,35,"R+",0.154588235294118
2019-03-31,36,"C+",0.197941176470588
2019-03-31,38,"OC+",0.190411764705882
2019-03-31,39,"C-",0.200794117647059
2019-03-31,41,"R+",0.167117647058824
2019-03-31,42,"OC+",0.180235294117647
2019-03-31,45,"S-",0.184647058823529
2019-03-31,47,"V-",0.133735294117647
2019-03-31,48,"I-",0.208794117647059
2019-03-31,53,"C-",0.186705882352941
2019-03-31,54,"V+",0.147764705882353
2019-03-31,56,"R-",0.177294117647059
2019-03-31,58,"OC-",0.172823529411765
2019-04-01,2,"C-",0.207333333333333
2019-04-01,4,"R+",0.139041666666667
2019-04-01,5,"R-",0.0991666666666667
2019-04-01,7,"OC-",0.166125
2019-04-01,8,"V+",0.11875
2019-04-01,12,"C+",0.213291666666667
2019-04-01,13,"V+",0.156333333333333
2019-04-01,14,"I-",0.227125
2019-04-01,16,"V-",0.125138257575758
2019-04-01,17,"S-",0.1804375
2019-04-01,21,"OC-",0.198708333333333
2019-04-01,22,"S-",0.207645833333333
2019-04-01,23,"OC+",0.202666666666667
2019-04-01,27,"C+",0.188916666666667
2019-04-01,30,"R-",0.177958333333333
2019-04-01,32,"I-",0.197854166666667
2019-04-01,33,"V-",0.126479166666667
2019-04-01,35,"R+",0.1755
2019-04-01,36,"C+",0.208708333333333
2019-04-01,38,"OC+",0.180875
2019-04-01,39,"C-",0.210645833333333
2019-04-01,41,"R+",0.177
2019-04-01,42,"OC+",0.174125
2019-04-01,45,"S-",0.212333333333333
2019-04-01,47,"V-",0.130354166666667
2019-04-01,48,"I-",0.214520833333333
2019-04-01,53,"C-",0.207291666666667
2019-04-01,54,"V+",0.145041666666667
2019-04-01,56,"R-",0.184020833333333
2019-04-01,58,"OC-",0.1643125
2019-04-02,2,"C-",0.212583333333333
2019-04-02,4,"R+",0.139458333333333
2019-04-02,5,"R-",0.1003125
2019-04-02,7,"OC-",0.160916666666667
2019-04-02,8,"V+",0.115041666666667
2019-04-02,12,"C+",0.216125
2019-04-02,13,"V+",0.153958333333333
2019-04-02,14,"I-",0.232375
2019-04-02,16,"V-",0.122645833333333
2019-04-02,17,"S-",0.191541666666667
2019-04-02,21,"OC-",0.193520833333333
2019-04-02,22,"S-",0.222520833333333
2019-04-02,23,"OC+",0.197416666666667
2019-04-02,27,"C+",0.1995
2019-04-02,30,"R-",0.1678125
2019-04-02,32,"I-",0.202833333333333
2019-04-02,33,"V-",0.1243125
2019-04-02,35,"R+",0.175541666666667
2019-04-02,36,"C+",0.214625
2019-04-02,38,"OC+",0.175708333333333
2019-04-02,39,"C-",0.216520833333333
2019-04-02,41,"R+",0.176083333333333
2019-04-02,42,"OC+",0.170291666666667
2019-04-02,45,"S-",0.218833333333333
2019-04-02,47,"V-",0.128291666666667
2019-04-02,48,"I-",0.217229166666667
2019-04-02,53,"C-",0.213208333333333
2019-04-02,54,"V+",0.143791666666667
2019-04-02,56,"R-",0.181229166666667
2019-04-02,58,"OC-",0.1589375
2019-04-03,2,"C-",0.199916666666667
2019-04-03,4,"R+",0.135958333333333
2019-04-03,5,"R-",0.096875
2019-04-03,7,"OC-",0.158375
2019-04-03,8,"V+",0.110916666666667
2019-04-03,12,"C+",0.199583333333333
2019-04-03,13,"V+",0.151291666666667
2019-04-03,14,"I-",0.232604166666667
2019-04-03,16,"V-",0.120041666666667
2019-04-03,17,"S-",0.180895833333333
2019-04-03,21,"OC-",0.191833333333333
2019-04-03,22,"S-",0.210041666666667
2019-04-03,23,"OC+",0.195291666666667
2019-04-03,27,"C+",0.186708333333333
2019-04-03,30,"R-",0.159166666666667
2019-04-03,32,"I-",0.201645833333333
2019-04-03,33,"V-",0.121979166666667
2019-04-03,35,"R+",0.171291666666667
2019-04-03,36,"C+",0.20325
2019-04-03,38,"OC+",0.173708333333333
2019-04-03,39,"C-",0.201708333333333
2019-04-03,41,"R+",0.171333333333333
2019-04-03,42,"OC+",0.168916666666667
2019-04-03,45,"S-",0.205020833333333
2019-04-03,47,"V-",0.126041666666667
2019-04-03,48,"I-",0.218125
2019-04-03,53,"C-",0.204645833333333
2019-04-03,54,"V+",0.142458333333333
2019-04-03,56,"R-",0.177416666666667
2019-04-03,58,"OC-",0.156333333333333
2019-04-04,2,"C-",0.187291666666667
2019-04-04,4,"R+",0.129791666666667
2019-04-04,5,"R-",0.0904375
2019-04-04,7,"OC-",0.153979166666667
2019-04-04,8,"V+",0.106
2019-04-04,12,"C+",0.183916666666667
2019-04-04,13,"V+",0.147916666666667
2019-04-04,14,"I-",0.213145833333333
2019-04-04,16,"V-",0.116666666666667
2019-04-04,17,"S-",0.169145833333333
2019-04-04,21,"OC-",0.188645833333333
2019-04-04,22,"S-",0.197416666666667
2019-04-04,23,"OC+",0.191708333333333
2019-04-04,27,"C+",0.172125
2019-04-04,30,"R-",0.149583333333333
2019-04-04,32,"I-",0.187479166666667
2019-04-04,33,"V-",0.119166666666667
2019-04-04,35,"R+",0.164333333333333
2019-04-04,36,"C+",0.191083333333333
2019-04-04,38,"OC+",0.171166666666667
2019-04-04,39,"C-",0.187354166666667
2019-04-04,41,"R+",0.164958333333333
2019-04-04,42,"OC+",0.166833333333333
2019-04-04,45,"S-",0.1919375
2019-04-04,47,"V-",0.123208333333333
2019-04-04,48,"I-",0.204354166666667
2019-04-04,53,"C-",0.195875
2019-04-04,54,"V+",0.14075
2019-04-04,56,"R-",0.171916666666667
2019-04-04,58,"OC-",0.153208333333333
2019-04-05,2,"C-",0.198375
2019-04-05,4,"R+",0.13125
2019-04-05,5,"R-",0.0925833333333333
2019-04-05,7,"OC-",0.180479166666667
2019-04-05,8,"V+",0.102833333333333
2019-04-05,12,"C+",0.193958333333333
2019-04-05,13,"V+",0.146458333333333
2019-04-05,14,"I-",0.226458333333333
2019-04-05,16,"V-",0.114833333333333
2019-04-05,17,"S-",0.177604166666667
2019-04-05,21,"OC-",0.212916666666667
2019-04-05,22,"S-",0.206875
2019-04-05,23,"OC+",0.216583333333333
2019-04-05,27,"C+",0.1825
2019-04-05,30,"R-",0.156854166666667
2019-04-05,32,"I-",0.1996875
2019-04-05,33,"V-",0.117395833333333
2019-04-05,35,"R+",0.16625
2019-04-05,36,"C+",0.207791666666667
2019-04-05,38,"OC+",0.200708333333333
2019-04-05,39,"C-",0.198708333333333
2019-04-05,41,"R+",0.167041666666667
2019-04-05,42,"OC+",0.182875
2019-04-05,45,"S-",0.2033125
2019-04-05,47,"V-",0.122166666666667
2019-04-05,48,"I-",0.216125
2019-04-05,53,"C-",0.203645833333333
2019-04-05,54,"V+",0.140416666666667
2019-04-05,56,"R-",0.173270833333333
2019-04-05,58,"OC-",0.1719375
2019-04-06,2,"C-",0.208708333333333
2019-04-06,4,"R+",0.137875
2019-04-06,5,"R-",0.0992291666666667
2019-04-06,7,"OC-",0.182458333333333
2019-04-06,8,"V+",0.0990833333333333
