Plot #,Treatment,Sensors,Sensor 1 - South - East Corner,Sensor 2 - North -West Corner
2,C-,CS616 TDR probe,1,2
5,R-,CS616 TDR probe,3,4
7,OC-,CS616 TDR probe,5,6
14,I-,CS616 TDR probe,7,8
16,V-,CS616 TDR probe,9,10
17,S-,CS616 TDR probe,11,12
21,OC-,CS616 TDR probe,13,14
22,S-,CS616 TDR probe,15,16
30,R-,CS616 TDR probe,17,18
32,I-,CS616 TDR probe,19,20
33,V-,CS616 TDR probe,21,22
39,C-,CS616 TDR probe,23,24
45,S-,CS616 TDR probe,25,26
47,V-,CS616 TDR probe,27,28
48,I-,CS616 TDR probe,29,30
53,C-,CS616 TDR probe,31,32
56,R-,CS616 TDR probe,33,34
58,OC-,CS616 TDR probe,35,36
4,R+,CS616 TDR probe,,37
8,V+,CS616 TDR probe,,38
12,C+,CS616 TDR probe,,39
13,V+,CS616 TDR probe,,40
23,OC+,CS616 TDR probe,,41
27,C+,CS616 TDR probe,,42
35,R+,CS616 TDR probe,,43
36,C+,CS616 TDR probe,,44
38,OC+,CS616 TDR probe,,45
41,R+,CS616 TDR probe,,46
42,OC+,CS616 TDR probe,,47
54,V+,CS616 TDR probe,,48
